,Ticker,Stock Price,Market Cap,No. of shares to buy
0,A,149.23,44182830529,670
1,AAL,12.71,8260240274,7867
2,AAP,143.28,8613741284,697
3,AAPL,131.86,2.09764E+12,758
4,ABBV,163.1,2.88439E+11,613
5,ABC,170.01,34965723446,588
6,ABMD,381.02,17180642928,262
7,ABT,108.18,1.8862E+11,924
8,ACN,266.09,1.75191E+11,375
9,ADBE,338.45,1.57345E+11,295
10,ADI,163.84,83443046973,610
11,ADM,94.62,51978004559,1056
12,ADP,240.94,99948602663,415
13,ADSK,188.16,40598811671,531
14,AEE,89.53,23145489791,1116
15,AEP,95.69,49171615348,1045
16,AES,28.68,19156799633,3486
17,AFL,71.75,44613329180,1393
18,AIG,63.16,46926617432,1583
19,AIV,7.32,1109947550,13661
20,AIZ,125.03,6605513568,799
21,AJG,188.41,39724364400,530
22,AKAM,83.16,13076269003,1202
23,ALB,226.96,26588998126,440
24,ALGN,203.67,15909142528,490
25,ALK,43.31,5493346461,2308
26,ALL,136.37,36166629606,733
27,ALLE,105.03,9226341655,952
28,ALXN,182.5,40336009475,547
29,AMAT,97.22,82067263773,1028
30,AMCR,12.06,17957575845,8291
31,AMD,64.52,1.04029E+11,1549
32,AME,139.38,32009229854,717
33,AMGN,263.92,1.40822E+11,378
34,AMP,308.27,32805229936,324
35,AMT,212.45,98917910357,470
36,AMZN,85.23,8.69487E+11,1173
37,ANET,119.77,36598432218,834
38,ANSS,237.55,20693511424,420
39,ANTM,482.58,1.16343E+11,207
40,AON,300.59,62177924032,332
41,AOS,56.9,8692927486,1757
42,APA,47.25,15191432597,2116
43,APD,312.04,69231057591,320
44,APH,75.81,45114117077,1319
45,APTV,91.26,24726858580,1095
46,ARE,147.24,24160210518,679
47,ATO,115.1,16230938607,868
48,ATVI,75.95,59440392978,1316
49,AVB,163.03,22807465134,613
50,AVGO,552.43,2.30853E+11,181
51,AVY,181.11,14664298126,552
52,AWK,153.02,27823301279,653
53,AXP,147.02,1.09858E+11,680
54,AZO,2430.65,45612778216,41
55,BA,189.06,1.12266E+11,528
56,BAC,32.47,2.60488E+11,3079
57,BAX,50.17,25291738479,1993
58,BBY,81.35,17999863333,1229
59,BDX,254.47,72337671344,392
60,BEN,26.85,13413147846,3724
61,BF.B,66.35,31783152429,1507
62,BIIB,279.16,40199431941,358
63,BIO,412.69,12267369548,242
64,BK,44.65,36089699723,2239
65,BKNG,1971.52,76474054230,50
66,BKR,29.1,29142705676,3436
67,BLK,703.94,1.05729E+11,142
68,BLL,69.49,22222129619,1439
69,BMY,72.89,1.54976E+11,1371
